op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms
read,key-0099,3.9711673744022846,200,True,False,6347.318649291992
read,key-0099,5.571749992668629,200,True,False,6353.306770324707
read,key-0033,10.571499820798635,200,True,False,3825.3321647644043
write,key-0084,1237.6461252570152,201,True,,
write,key-0084,1229.5869579538703,201,True,,
write,key-0084,1219.4193750619888,201,True,,
read,key-0099,4.00449987500906,200,True,False,10055.30071258545
read,key-0034,4.293249920010567,404,True,False,
read,key-0033,3.2177497632801533,200,True,False,7524.348020553589
write,key-0033,1221.8352081254125,201,True,,
read,key-0033,2.761458046734333,200,True,False,2.8810501098632812
read,key-0087,2.605167217552662,404,True,False,
write,key-0018,1228.1068749725819,201,True,,
read,key-0037,5.521917250007391,404,True,False,
write,key-0009,1224.0773341618478,201,True,,
write,key-0084,1228.1686249189079,201,True,,
read,key-0033,5.319499876350164,200,True,False,3697.4871158599854
write,key-0033,1233.7405406869948,201,True,,
read,key-0014,30.619666446000338,404,True,False,
write,key-0009,1265.7332923263311,201,True,,
read,key-0084,4.6391659416258335,200,True,False,2540.9610271453857
read,key-0042,5.443708039820194,404,True,False,
read,key-0008,4.989459179341793,404,True,False,
read,key-0033,4.651749972254038,200,True,False,1316.8036937713623
write,key-0099,1228.1605419702828,201,True,,
read,key-0084,4.702291917055845,200,True,False,3789.3052101135254
read,key-0046,2.707250416278839,200,True,False,13691.272974014282
write,key-0033,1224.2049579508603,201,True,,
read,key-0099,6.687583867460489,200,True,False,1238.8641834259033
read,key-0099,4.668333102017641,200,True,False,1243.6952590942383
read,key-0049,3.832874819636345,200,True,False,13683.443069458008
read,key-0097,9.536124765872955,404,True,False,
read,key-0043,4.2007090523839,404,True,False,
write,key-0010,1231.5979581326246,201,True,,
read,key-0033,5.182124674320221,200,True,False,1266.6950225830078
write,key-0099,1219.7146248072386,201,True,,
read,key-0084,7.0317089557647705,200,True,False,7510.152101516724
read,key-0036,4.766291007399559,404,True,False,
read,key-0033,4.211291670799255,200,True,False,2502.9821395874023
read,key-0011,4.367250017821789,404,True,False,
read,key-0004,3.9168749935925007,404,True,False,
read,key-0007,4.204417113214731,404,True,False,
read,key-0056,10.532333981245756,200,True,False,62318.05419921875
read,key-0018,5.181583110243082,200,True,False,10006.367921829224
read,key-0085,3.900500014424324,404,True,False,
read,key-0091,3.4332089126110077,404,True,False,
read,key-0018,3.260958008468151,200,True,False,10017.250061035156
write,key-0071,1223.8567499443889,201,True,,
read,key-0013,3.14045837149024,404,True,False,
read,key-0060,2.788625191897154,404,True,False,
write,key-0049,1228.893042076379,201,True,,
read,key-0010,12.266041710972786,200,True,False,3756.061792373657
write,key-0033,1226.1616247706115,201,True,,
read,key-0019,2.463790588080883,404,True,False,
read,key-0084,1.8365830183029175,200,True,False,11264.549255371094
read,key-0084,2.3262081667780876,200,True,False,11266.92795753479
write,key-0096,1231.3904161565006,201,True,,
read,key-0033,7.152457721531391,200,True,False,1245.5980777740479
